group,Open_report typo-corrected
meditation,"This experience happened during my first meditation retreat, at the latter part of the week. It was the last sitting of the day, we sat silently together in the meditation hall. I was sitting as comfortably as I could, but I suffered relatively severe pain due to spine fracture. I don't remember if I started the sitting with body scan or not, but it's very likely I did, because it was an important part of my meditation routine. The ""actual practice"" was metta, I used phrases, or more accurately, I explored the phrases and was curious about what resonated. The practice followed traditional sequence, starting from the easiest object, turning to neutral, difficult and finally, to the whole existence.  I remember that ""the Hindrances"" visited me during the sitting every now and then, especially in the beginning. Particularly aversion, resisting the pain, and doubt, regularly appeared. I had an intention to be vigilant with them, to see them, to invite them like I would invite a good friend and have a cup of tea with me, and allowed my mind to visualize them as a small creatures. I felt at ease with them, sometimes just mentally noted ""I see you (Mara)"" or ""hello my friend, please join me"". So my mind didn't get disturbed or confused with them. I also used my breath to ease the tightness and pain in the body, breathing space and exploring what kind of breath or way of being allowed me to relax and welcome the pain.  So the practice started with the metta practice that was combined with vipassana -kind of meditation and working with the hindrances. And then, when ""I was ready"" felt strong intention and connection with the metta, I dropped the phrases and just rested with the kindness. Very few thoughts emerged and I just allowed them to go. A few times I felt almost unbearable amount of energy passing through my body, for a moment I was afraid my bones would break, but I felt safe and knew I could trust the practice, so these experiences just came and then passed away, and didn't dominate the sitting. The intention was to be fully aware of the experience of being alive, and I wanted to appreciate, to fully feel, the whole body of the breath that kept me alive. So the practice changed a little, there was the strong metta quality but also awareness of the breath, that I felt through my whole body (I didn't try to focus on any part of the body). I allowed awareness to increase with every inhale and then let go with every exhale. I felt like surfing with very pleasant waves and I had the mental vision, like I was a living cave, very kind and sensitive and fully alive type of cave at the seaside, half in the water, and the breaths were waves washing and nourishing the cave. All of them were different and unique, and strong appreciation and joy made it easy to be aware each of them, how they expressed themselves through my body.  The awareness, clarity, unconditional kindness and care I experienced was stunning. I felt like I had encountered something that had always been there but invisible to me before. This was not rational or verbal experience and it's not possible to describe it with the words. The ease, safety, deep care and love, presence, pleasure I experienced, it was a fundamental release and relief. This loving and deeply caring awareness was able to hold everything, even the suffering and pain that was unbearable to me. I wasn't dreaming or lost in my mind but very intimately and deeply connected to the reality and the body, the intensive pain was still there and my legs were numb at that point, but the pain didn't disturb or bother me at all, I was completely at ease with everything. Meditation felt easy and pleasant and I could have continued it much longer, there was a desire to do so, but when the meditation bell rang I stayed only for a moment. I recognized that the kindest thing was to stand up and allow my body to move, my legs needed it."
meditation,"Online retreat with a friend at a summerhouse. Early in the morning I went on a walk. Beautiful sunshine. I thought about my spiritual friend with whom I had a MDMA session 3 weeks prior this retreat and how it helped me. I had a vision ( which I occasionally have had without any substances) about a little girl age 4-5 in the middle of us and we were holding her hands. We were walking towards a huge image of christal clear light. It was like an angel and was a reflection of unconditional love and care. It was deeply touching, warm and filled almost the whole vision field. The day began with yoga. Teacher then read a sutta and reflection on First Nobel Truth about suffering. Someone was kind of depressed and teaching was, this is the beginning on the path to enlightenment. This is not delusion. Suddenly the message touched me like an energy wave in my forehead, then my chest area and finally deep in the lower belly. It was both shaking and supporting, very moving and tears came. This is my First Noble Truth: I have tried always to make up my identity in various ways, self improvement projects and skills, scattered around a center like petals in a flower and I never feel enough or whole."
meditation,"I centred deep in my heart, the thoughts started to lose importante, breath calmed down, - this during a period of approximately 1 h, after many meditations of this type. Suddenly I felt an immense love, I felt full of light, and a very intimate and tremendous Presence in my being, one that I could never forget, and that I can connect to many time thereafter."
meditation,"I had been walking in the forest all day, connecting with nature, speaking in my heart to the life of the forest. At the end of the day, it was late autumn and cool in the hills, we gathered around a fire in a cottage in the forest. I lay down for comfort, head on my pack for a pillow, closed my eyes and connected with my heart, and nature, through the days experiences. After revisiting all the places of interest, and feeling deeply at peace with the day, and not expecting anything else, it had been a good day. Suddenly my vision changed, inner vision, my eyes were closed. I was somewhere else, and knew it was beside the Sea of Galilee, and a man was approaching me out of the gloaming. I knew it to be Jesus, and he knew me, and we embraced, and I had thought him to be dead from the crucifixion. As I touched his arm I felt in my arm a searing pain from the palm of my hand up into my neck, it really hurt, and he was speaking to me, but I could not hear his words. My soul called me back, and I said ""No! I want to hear the words of Jesus."" My soul said ""you do not need to hear the words, they are in you now, and you have become the words. You must come now."" (This was very moving for me, I had never experienced a visionary experience like this. For the next seven years it was the background of my life, the words , often with accompanying visions, reappearing in meditations to become workshops and books.) (This took place when I was about sixty years old, after fifteen years of meditation experience_ now I am over eighty and the words are still coming) (the words are without exception positive, loving, healing, and a delight to live with.)"
meditation,I was lying on my bed meditating when I saw clearly my son seated in front of a window drinking from a mug. My son was 5000 miles away at the time.It was so vivid I drew a sketch of it .I asked him what he had been doing at that exact time. He said he was seated at a desk in front of a window drinking coffee. I asked him to send me a photo of himself in that position .It was identical with what I had drawn. I believe I was remote viewing
meditation,"First of all it is important to say I have had so many of these experiences it is difficult to choose which one now. I have gone with the one that happened during the mindfulness rather than the experience of the dream or experience afterwards which is a common effect for me when I meditate before bedtime. This occasion I was attending training for MBIR Mindfulness Based Inner Repatterning and the facilitator led us into a mindfulness state which as she proceeded to ask us to bring in colours opened up a garden that I was in the centre of. The garden increased in growth, volume, colours and sounds as she asked us to bring in more colours. This became the most blissful experience I had ever encountered and as the garden grew into the whole planet the vision became and felt more and more like the garden of Eden. In fact I was convinced it was the garden of Eden. There were waterfalls, sparkles, smells and tastes of abundance everywhere I turned. I didn't see any people just me and the garden and this growing intensity of belonging and that I was home. It felt like I was there a very long time, yet not long enough, when she brought us back into the room it was with real reluctance that I came back. It had been only a minute or two. As we progressed throughout the day doing more of this I was able to go back once more to that beautiful place and watch and feel the plants growing, whispering to each other and it felt sublime,"
meditation,"- at the 10th day of 14 day Vipassana retreat - sharper observation of thought created in my mind - depersonalization from them - sudden awareness, that there is no ""I"", just a train of these thoughts - somehow they were created and then the observer is a"
meditation,I was attending a course on meditation with an Indian lady that was considered a guru. There were 20 or 30 fellow in the course sitting in the hall. After days of trying to meditate sitting silently with nothing happening and some disappointment I remember viewing myself waking up rapidly a large steir in a building with pink walls well lighted without any windows.  At a curve of the stairs on the left side some hard paper containers full up of old papers were turning upside down from the air inside the large stairs in front of me. Many sheets of old typed-written papers were flowing near me and on me. Then the image dissolved.
meditation,"((Because I look back on a long life and have practiced meditation for 40 years already, I can impossibly name one single occasion which is MOST meaningful , but I promise this was one of the important & meaningful experiences in my life.))  (It was a time in my life when I felt a bit tense and unhappy about my life's situation. I tried to practice meditation twice a day, but the usual day to day stress was a distraction. Now I was on a holiday at the seaside.On a cloudy windy summer day, I sat for meditation on the sand of the beach. Looking at the sea and sky. I had a question in my mind about my life, but I don't remember.) While doing my regular practice of recitation and visualization, I became more and more calm, peaceful, deeply relaxed. I felt a nearness of the visualised deity (a Buddha). It felt like friendship, care, protection. An answer to my unexpressed question arose out of my innermost being, coming from very deep, where there is silence and peace. The voice was really extremely low & soft. If there had been any other inner chat, it would have covered this low deep voice. The answer was really wise. (...it appeared surprisingly wise in that moment and it turned out to be really wise in long-term view.) Then, although my eyes were shut, it appeared as if I was sitting under a light. Bright like a street light. It felt like I was sitting under a yellow street lamp in the night. (But it was daylight, afternoon, and rain started to fall, but I didn't really get wet, because I had some shelter by a roofed wicker beach chair. When I opened my eyes, there was a huge double rainbow, seemingly only 30 meters beside me, bowing from the sand into the sea.) Due to all of this, the experience seemed to be very meaningful. I felt protected, save, relieved, glad, grateful, happy and soothened."
meditation,"The experience allowed me to see that I'm not a solid fixed thing. In fact ""I"" am a fluid mind/matter phenomenon. I was in in the middle of a 10 day meditation course. It was the result of sustained meditative effort. This experience changed my relationship to my ego, and lead to an understanding of other people's suffering due to their attachment to self (ego)"
meditation,"I was aware of rewire an old patter of my mind by observing the impermanence of certain negative feelings and by not identifying with them, and this caused a lot of rapture."
meditation,"I had been meditating using the technique of Dzogchen for a bit over a year. It promises to deliver an experience of no-self. In Buddhism it is always stressed that you cannot describe the experience so much as point to it. So while I expected to eventually have some sort of realization experience I didn't know what that would be like.  This particular day, I was doing my daily 20 minute session at home when my physical body seemed to dissolve into its surroundings. All that was left was a field of sense data, with no one there to observe it. My sense of self as the observer dissolved with my body. I felt a sense of oneness with everything. My experience was expansive and stretched as far as anything I could perceive. Thoughts were sparse and as impersonal as passing clouds, just like physical sensations, visual appearances, transient sounds, etc. I had glimpsed this sense of emptiness before but this was somehow deeper. Like the meditator experiencing the emptiness was nowhere to be found.  The most profound part of this experience for me was the compassion that came over me during it. I realized that until this experience of not being separate from the rest of my perceptions and from the phenomenological world, my compassion practice had always been forced. Like I was being compassionate because I knew that I should. But it wasn't automatic. And it often left me feeling drained. After having this experience, there was a very distinct sense of oneness with reality. An experience like that makes compassionate automatic. There’s literally no difference between myself and others. So why did I always try so hard to be compassionate to others, while not taking care of myself?  That was my big takeaway. That I'm one of the people I'm supposed to love, just like the people I was always trying to please. Everyone says you're no good to anyone else until you take care of yourself, but having a direct experience of the truth of that statement was a different thing altogether."
meditation,"It was my first retreat, an introduction to ngondro retreat. It was at Pema Osel Ling near Santa Cruz. 28 years ago. Anam Thubten Rinpoche was teaching. There were about 8 of us in a small room in the sangha house. I don't remember what Rinpoche was teaching about. I think he had strayed from ngondro into some dzogchen. I was meditating while receiving the teaching (which one should always do) and I figured I'd try this cool visualization from the guru yoga section of the ngondro I'd just learned. Must work better with an actual lama than a visualized one, right? They hadn't told us you could do it that way, but... The visualization is a chakra-and-lights affair, receiving the four empowerments from the guru's three chakras to mine - white body/forehead, red speech/throat, blue mind/chest, and a five colored sphere from heart to heart. After I'd done that, Rinpoche seemed to have noticed I was doing something. He stopped talking and looked at my stomach area, as if to study it? It called my attention to it anyway. In other systems of guru yoga I've seen since, I believe you use that chakra for the fourth empowerment instead of the heart. Then he looked straight at me, and asked, ""How did you get here?"" Was he asking whether I drove the back way to get there? Was he asking how I'd become interested in Buddhism? My mind stopped. It was a fucking koan. I figured ""Here I am"" was an acceptable response but it sounded dumb when I said it. I should have just remained slack-jawed. It lit me up like a Christmas tree. Nyams nyams nyams. Bliss, clarity, non-thought. Literally felt like I could see through the walls to the trees beyond and through the roof to the moon and stars above. All sound was mantra. Like I could hear each sound, but each had a mantra, like vajrasattva, being mumbled along with it. Blissful energy. Vast open awareness. Better than acid. From Lama Tharchin's Dudjom Tersar Ngondro commentary: ""Guru yoga is the method for receiving... the direct transmission of wisdom from the Guru's mind to your mind. Transmission really means receiving the taste of enlightenment... Someone who has received the Guru's mind transmission has no choice but to attain enlightenment, just as someone falling down a steep mountain totally out of control has no choice but to fall all the way to the bottom.,, ""Thinking of the gurus qualities, how amazing and extraordinarily fortunate you are to have met a teacher like this, you may feel the hair on your body stand up or you may cry without control. Experiences will arise and suddenly your mind will change to pure Awareness. All normal phenomena will cease. Meditation experiences will arise effortlessly and spontaneously."" That was all happening, just like in the book. After the teaching I asked his assistant if I could talk to him. I wanted to ask him to be my teacher. I went to his cabin. He was quite cross with me, only time I've ever seen him cross. I told him about my experiences and he practically scoffed. ""Those are just nyams. They aren't enlightenment and are very dangerous to get attached to."" I left quite deflated, though still with all the psychedelic effects still blazing in my brain. It took another day for the nyams to subside. I never did tell him I did the guru yoga visualization with him. I figured maybe it was like sexual harassment, doing guru yoga uninvited. Or maybe that was for advanced practitioners and this was my first retreat.  I was quite suspicious of nyams after that. I'd gotten the transmission, but I didn't know what to do with it. I bogged down in doing ngondro and quit. But I didn't have a dzogchen practice I could do. He was quite vague about just sitting there. I drifted away from him and dharma. Over a quarter century later I stumbled across Lama Lena, another dzogchen master. All her teachings are free on youtube. Her take on nyams is quite different and more positive. They can feel great. They're a sign of progress, but they are not that progress. They're like a sign on the road that says ""San Francisco 75 miles."" You don't pull over next to the sign and stop just because it names your destination. Keep going! Don't try to hang onto them. Don't try to get back an experience you had last Tuesday! (Since you're studying nyams, you might be interested. If you go to https://lamalenateachings.com/dzogchen-levels-beginner-intermediate-advanced/ and search for nyams you'll find it in the transcript.) I've concluded that all the psychedelic fireworks were nice and impressive, but the important part was that open vastness that went with them. ""Tawa longchen rabjam yin. The view is the infinite vast expanse."" So I did get transmission. It just took me a quarter century to figure out what it was and what to do with it. LL is a genius. And she doesn't require ngondro as a prerequisite! This happened 16 years before my first manic episode and diagnosis. It only lasted a couple days. I'm not sure how to make sense of it psychologically. Brief psychotic episode I guess.  How does this affect my everyday life? In dzogchen, first one is introduced to tawa, the view. Then the meditation is at all times and on all occasions, noticing the previously recognized tawa, dharmakaya, nature of mind. So I'm doing that. I still get nyams, mild ones in comparison to that first experience, and I just let them slide on by. No need to shout ""p'hat!"" to get rid of them. Hope that helps."
meditation,"I went on a 4 day retreat and on the 2nd or 3rd day, we gathered in the meditation hall for a guided meditation with bikkhus and retreat attendants. The meditation involved envisioning our parents as little children and experiencing their fear/anxiety as children. Having had a complex and routinely difficult relationship with my father up to this point in my life, this exercise was transformative. I had not really thought of my father as the product of his tumultuous upbringing_ his fears, anxieties and such. That said, I broke down sobbing throughout the meditation as waves of compassion and understanding washed over me. I was able to see that my father and I were not separate but the same. That the same fears and anxieties that I had my whole life were no different than his. I envisioned him as a little kid witnessing his father beat his mother and siblings while he sat there terrified. I touched those feelings in myself and wept. I then expanded the scope to every human being who ever lived and realized that we are all the same and was able to touch compassion and understanding for everyone that has ever lived. I felt connected to others in a way that had never happened before. It was a truly beautiful experience. (As a result of this experience, the relationship with my father was forever altered. I was able to interpret his every unwholesome action with the eyes of compassion and did not take it personally. Any residual resentments were washed away. I treated him with love and understanding moving forward from this experience until he passed away. Our relationship was healthy and positive from then on. I am very grateful for the experience.)"
meditation,"losing boundaries of body, wideness, joy and stillness which I more or less often experience additional  release of tension/sorrow/pain about health issues of children, experiencing them as not my suffering but THE suffering, being somehow not a problem but perfect manifestation of the unspeakable"
meditation,The experience of ultimate calmness
meditation,"Retreat at a buddhist center for five days, Vipassana. Feeling of deep peace, absolute silence."
meditation,"I was doing a Samatha-vipassana styled meditation in a 5 day retreat. The Experience happened at the 4th day in evening meditation. I had been meditating about 10 hours per day on the retreat and 2 hours a day for past 2 years before the retreat.  Practice was just letting go of all arising phenomena. Before ""the Experience"" I have had strong energy sensations for years. Body being full of wave like tingling, losing the experience of body to this wider field of energetic experience. Lots of old memories running through the field of experience variating with euphoric peaceful silence. In ""The Experience"" I was suddenly existing and experiencing the room I was meditating in for multiple perspectives at same time. The visual sense was very vivid as I was kind of this formless entity getting data for all angles at the same time. Then the experience collapsed into a sort of a energy current that flowed back to my body. Important factor was that I was that energy flowing into a body.  After the experience, all experiences felt like they are as important. There was no hierarchical structure what I thought was better than an another experience. It felt like being in a ""perfect"" mindset, as the inner critic was gone. Everything felt like this is the way it needs to be. The struggle was over, I overcame the illusion of control over the things I can't change. Clarity of things was something I had never experienced. as all the negative feelings felt necessary in order for the world to be built as it is. There was no trying, no fear of a mindset fading away, it did not feel constructed, it felt like most natural state of mind to be. I walked away from the meditation hall and ate a bun, and I felt no difference in meditating versus non meditating. I was in the awe of the ordinary."
